0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,41,42,44,45,46
1,,0.38,,,0.54,0.62,,0.52,0.58,,0.58,,0.54,0.55,0.52,,0.48,0.44,,0.2,,,,,,0.13,,,,0.15,0.21,,
2,0.29,,,0.37,,0.5,0.52,,,,,,,,0.24,0.35,,,,,0.14,,0.15,,0.25,,,,0.07,0.07,,0.1,0.1
3,0.52,,0.41,0.43,0.62,0.72,0.88,0.82,0.91,0.99,0.98,0.95,0.95,0.92,0.66,0.33,0.42,0.4,0.24,0.24,,0.68,,,0.09,0.16,0.15,0.33,0.61,0.66,0.66,0.72,0.71
4,0.45,0.37,0.49,,0.68,0.59,,0.5,0.85,,0.4,0.57,0.66,0.38,0.33,0.17,0.16,0.33,0.26,0.19,0.22,,0.41,,0.22,0.18,,,0.11,0.15,0.14,0.16,
5,0.27,0.28,,,,0.44,,,0.6,0.56,0.22,0.48,0.27,,0.5,0.44,,0.19,,,0.18,0.2,0.41,0.15,0.15,0.18,0.18,0.18,0.21,0.25,,0.3,0.29
6,0.81,,,,,0.55,,,0.36,0.27,0.24,0.23,0.35,0.36,0.37,0.41,0.22,0.22,0.21,0.18,,0.37,,0.22,0.18,0.16,,,0.36,0.36,,0.3,0.27
7,,,,,,11.4,,,,,,,,6.5,7.18,3.08,8.25,3.1,3.16,3.66,3.52,,,,,,,,4.15,5.48,5.49,5.79,8.34
8,0.41,,,,,0.47,,,0.32,0.35,0.34,0.33,0.31,0.31,,0.31,0.31,0.27,0.27,0.2,0.2,0.2,0.17,0.15,0.16,0.15,0.17,0.18,0.25,0.17,0.25,0.25,0.41
9,0.84,,,0.39,,,0.43,,0.41,0.4,0.35,0.35,0.45,0.79,0.64,,0.19,0.19,0.15,0.15,0.23,0.16,0.13,0.13,,0.17,0.25,0.23,,,0.23,,
10,0.4,,,,,0.43,,,0.27,0.2,,,,0.22,,0.19,0.25,,0.26,0.21,0.19,0.22,0.21,0.18,0.16,,,,0.15,,0.16,0.18,
11,0.25,,,,,0.23,,,,0.14,0.07,0.05,0.03,,0.03,,,0.09,,,0.07,0.05,0.07,,,0.03,0.04,0.04,,0.04,,,
12,0.13,,,,,0.06,,,0.33,0.38,,,,,,,,,,,,0.19,,,0.41,,,,,0.18,,,
13,0.27,0.15,0.15,0.09,0.04,0.43,0.05,0.05,0.05,,0.07,0.07,0.07,,0.27,0.32,,,,,0.25,,0.25,0.25,0.25,0.25,0.26,0.26,0.23,0.22,,0.16,0.3
14,0.14,,,,0.18,0.04,,0.21,0.14,0.24,0.19,0.24,0.24,0.24,0.27,0.28,0.28,0.31,0.28,0.26,,0.2,,0.28,0.26,0.29,,,0.25,0.27,0.31,0.26,0.24
15,0.26,0.15,,,,0.2,,0.18,,,0.47,0.46,0.27,0.23,,0.24,0.26,0.33,0.37,0.43,0.72,,0.41,0.11,0.27,0.43,0.46,0.53,0.4,0.46,0.33,0.81,
16,0.17,,,,,,,,0.28,0.27,0.25,0.27,0.2,0.23,0.23,,0.27,0.22,0.23,0.27,0.34,0.34,0.36,0.36,,0.38,0.36,0.42,,,0.37,,
17,0.42,,1.71,1.81,,0.33,1.65,,,1.9,,,,,0.59,0.46,,0.36,,,,,,0.9,2.43,,0.89,0.41,0.53,,,0.5,0.93
18,0.16,,,,,0.16,,,,0.15,0.14,0.16,0.21,,0.19,0.14,,,,,,0.18,,,0.21,0.19,0.19,0.21,0.19,0.18,,0.15,0.24
19,0.38,0.41,0.34,0.28,,0.42,0.34,,0.57,,0.37,0.4,0.34,0.33,,,0.36,0.28,0.29,0.28,0.55,,0.3,0.24,,0.42,,,,,0.38,,
20,0.28,,0.25,0.24,0.26,0.28,0.28,,0.33,0.33,,,,0.27,0.25,0.27,0.25,0.3,0.31,0.29,0.24,0.24,0.15,0.19,0.18,,0.18,0.17,0.25,0.16,0.2,0.2,0.22
21,0.25,0.26,,0.18,,0.17,0.21,0.22,,0.22,0.19,0.17,0.3,,,,,,,,0.16,0.14,0.16,0.2,,0.21,0.25,0.23,,0.32,,,
22,0.83,1.13,,,0.76,0.77,0.78,0.78,0.8,0.82,0.71,0.64,0.65,,0.64,,,0.53,,,,0.41,,,,0.31,0.33,0.3,,0.27,,,
23,,,0.34,,0.31,0.34,0.32,0.32,,,,,,,,0.28,,0.36,,,0.34,,0.31,0.35,0.37,,,,0.22,,,0.23,0.25
24,0.46,,,,,0.32,,,0.31,,0.31,0.31,0.33,0.33,0.33,,0.35,,0.32,0.23,,,,0.33,,0.35,,,,,0.4,,
25,1.79,2.12,,2.97,2.75,2.89,2.63,3.09,,3.58,,,,0.89,0.68,0.23,0.09,0.1,,0.11,0.27,0.19,0.22,0.21,0.3,,,,0.08,0.13,0.23,0.16,0.22
26,0.41,0.28,0.51,0.58,0.63,0.6,0.66,0.7,0.68,,0.69,,0.7,,,0.7,,0.69,,,,,,,0.48,0.43,1.08,1.2,0.17,,,0.21,0.25
27,,,5.94,,,6.11,,,,6.33,,,,4.18,3.95,,2.14,,0.97,0.45,0.41,0.45,0.56,,,,,,,0.29,0.38,,
28,0.35,,,,,0.05,,,0.04,0.02,0.02,0.02,0.1,0.04,0.04,0.06,0.06,0.1,0.07,0.07,0.07,0.09,0.05,,0.09,0.09,0.07,0.09,0.08,0.06,0.13,0.16,0.2
29,0.04,,,,,0.03,,,0.04,,0.04,0.03,0.03,,,0.03,,0.13,,,,,,,0.11,0.11,,,0.06,,,0.12,0.08
30,0.28,,,,,0.28,,,0.57,0.52,0.32,0.37,0.4,0.3,0.25,0.23,0.15,0.13,0.34,0.36,0.22,0.33,,0.25,0.35,0.37,,,0.34,0.32,,0.16,
31,0.31,,,,,0.31,,,0.24,0.22,0.21,0.23,0.32,0.31,0.27,0.25,0.22,0.21,0.54,0.14,0.12,0.13,0.13,0.12,0.11,0.12,0.12,0.13,0.24,0.26,0.29,0.3,0.31
32,0.12,,,0.14,,0.14,0.12,,,0.05,,,,0.13,0.14,0.37,0.28,0.38,0.31,0.29,0.29,0.28,0.3,,0.12,,0.24,0.22,0.23,0.24,0.22,0.24,0.22
33,0,,,,,0.1,,,0.34,0.1,0.05,0.05,0.05,0.12,0.23,0.2,0.02,,,0.08,0.05,0.05,0.04,0.02,,0.02,,,0.08,0.08,0.07,0.06,0.04
34,0.26,0.25,,,,0.36,,0.12,0.13,0.21,0.09,0.17,0.25,0.2,0.24,0.27,0.28,0.27,0.2,0.21,0.18,0.16,0.1,0.15,0.2,0.22,0.23,0.22,0.26,0.23,0.25,0.27,0.16
35,0.22,,,,0.11,0.15,,0.23,0.25,,,,,,,,,,,,,,,0.13,,,,,,0.19,,,
36,1.44,1.38,1.93,2.18,1.88,2.11,2.4,2.35,,0.77,0.53,0.14,0.17,,0.32,0.1,,0.06,,,0.16,0.17,0.07,,0.12,0.09,0.25,0.53,0.15,,,0.17,
37,0.27,,,,,0.41,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,
38,0.96,,,,,,,,0.97,0.93,0.78,0.45,0.49,0.43,0.43,,0.43,0.41,0.65,0.89,0.53,0.23,0.15,0.43,0.7,0.69,0.88,0.57,,0.68,0.32,,
39,0.05,,,,,0.04,,,0.04,0.06,0.06,0.07,0.04,0.03,,0.04,0.03,0.02,0.03,0.02,0.16,,0.09,0.05,0.03,0.06,0.03,0.04,0.06,0.13,0.04,0.04,0.03
40,1.22,1.01,1.61,3.53,,3.08,3.95,,,2.81,1.1,0.55,1.46,1.19,0.89,2.23,0.64,0.53,0.6,0.31,,0.16,,0.25,0.18,0.24,0.49,0.42,0.17,0.3,0.18,0.25,0.24
41,0.49,,,,,0.25,,,0.21,,0.29,0.23,0.17,,0.07,0.29,,0.09,,,,,,0.19,0.18,0.29,0.32,0.33,0.2,0.36,,0.06,
42,0.68,0.43,0.5,0.36,0.16,0.11,0.58,0.37,,0.46,,,,,,,,,,,0.03,0.27,0.2,0.14,,,,,,0.13,,,
43,0.4,,0.52,0.48,,0.4,0.37,,,0.24,0.22,0.19,0.24,0.18,,0.09,0.16,0.24,0.33,0.31,0.21,0.23,0.16,,0.2,0.14,0.07,0.24,0.16,,0.33,0.16,0.2
44,0.37,0.39,,0.37,0.43,0.4,0.38,0.3,0.49,0.41,0.24,0.25,0.26,0.19,0.19,0.13,0.09,0.09,0.06,0.79,0.16,0.07,0.08,0.09,0.1,0.09,0.09,0.1,0.22,,0.22,0.32,0.28
45,,0.31,,,0.32,0.35,0.34,0.36,0.29,,,,,,0.21,,,,,,,,,0.08,,,0.04,0.05,,0.07,,,
46,0.18,0.15,0.17,,0.19,0.14,0.04,0.2,,0.26,0.26,0.29,0.26,,,0.67,,0.09,,,0.03,0.06,0.18,0.13,0.09,0.07,,,0.32,,,0.11,0.12
47,0.87,,1.77,,0.51,0.38,,0.4,0.59,,0.4,0.54,0.93,,0.92,,,0.79,,,1.18,,0.98,,,0.34,0.59,1.03,,0.25,,,
48,0.1,,,,,0.35,,,,0.32,,,,0.37,,,0.1,,0.1,0.25,0.64,0.1,0.07,0.11,,,,,,0.4,0.14,,
49,1.87,2.4,,2.46,2.77,2.02,0.96,1.3,1.42,0.78,0.72,0.33,0.18,,0.24,1.03,,0.31,,,0.65,0.53,0.92,0.44,0.38,0.2,0.33,0.19,0.3,0.15,,0.31,0.19
50,1.43,1.89,1.6,1.21,1.02,1.24,2.61,0.95,,,,,,0.44,,,0.28,,0.8,2.2,0.47,,0.9,0.54,,,0.54,0.65,,,0.56,,
51,0.59,,0.59,,,0.16,,,0.11,,0.19,0.3,0.26,0.16,0.44,0.97,0.15,0.68,0.29,0.14,,,,0.07,0.07,0.02,,,0.92,,0.95,0.45,0.18
52,0.88,,,,,0.16,,,0.08,0.08,0.16,0.2,0.07,0.07,0.09,0.09,0.21,0.26,,0.07,0.27,0.21,0.11,,0.05,0.06,,,0.12,0.16,0.35,0.12,0.14
53,0.3,,,,,0.26,,,,,0.24,,0.25,,,0.21,,0.21,,,,,,,0.15,0.16,0.16,0.15,0.19,,,0.33,0.39
54,0.35,,,,,0.3,,,0.13,0.1,,,,0.05,0.07,,0.05,,0.09,0.14,0.09,0.06,0.07,,,,,,,1.2,0.38,,
55,1.24,,,,,6.74,,,3.41,1.86,2.54,3.18,3.19,1.01,1.51,1.57,1.2,1.41,1.4,0.12,0.32,0.49,3.85,,0.74,1.3,1.78,1.36,0.08,0.04,0.24,,
56,1.18,,,,,,,,,,,,,,,,,,,,,,,0.27,0.25,0.07,,,0.82,,,0.11,0.15
57,0.09,,,,,,,,0.07,0.01,0.03,0.03,0.01,0.02,0.04,0.03,0.03,0.03,0.09,0.05,0.04,0.08,,0.11,0.06,0.06,,,0.38,0.06,,0.07,
58,0.15,0.43,,,,0.52,,0.23,,0.13,0.15,0.33,0.12,,0.12,0.12,0.25,0.55,0.17,0.23,0.13,0.12,0.14,,0.14,0.32,0.44,1.57,0.74,0.47,0.9,0.61,0.11
59,3.63,,,,2.45,1.47,,1.6,4.03,2.81,,,,2.4,2.9,2.8,1.56,0.46,1.29,1.22,0.55,0.24,2.05,0.74,0.36,,1.87,1.89,1.88,3.01,1.64,2.59,2
60,0.16,0.14,0.25,0.53,0.2,,0.2,0.21,0.22,0.23,0.23,0.23,0.22,0.29,0.35,0.28,0.28,0.3,0.29,0.27,0.28,0.34,0.3,0.29,,0.35,,,0.27,0.23,0.17,0.14,0.13
61,0.54,,,,,0.79,,,0.26,0.35,0.37,0.36,0.38,0.48,0.54,0.4,0.42,0.3,0.29,0.27,0.62,0.19,0.09,0.04,0.15,0.15,0.59,1.11,0.1,0.11,0.57,0.21,0.15
62,0.36,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.33,,,,,0.45,,,0.37,0.37,0.31,0.31,0.32,,0.34,0.34,,0.19,,,0.1,0.11,0.14,,0.87,0.21,0.18,1.62,0.15,,,0.14,
64,0.11,0.35,0.8,0.65,,0.23,0.08,,0.22,,,,,,,,,,,,,,,0.04,,,,,,0.06,,,
65,0.54,,,,,0.37,,,0.57,0.28,0.29,0.34,0.32,0.14,0.15,,0.14,0.13,0.12,0.12,0.09,0.31,0.15,0.1,0.16,0.17,0.29,0.66,,0.75,0.19,,
66,0.22,0.22,0.25,0.23,0.3,0.64,0.52,0.18,,0.14,0.18,0.14,0.14,0.12,,0.12,0.15,0.22,0.1,0.12,0.09,,0.24,0.1,0.16,0.09,0.24,0.53,0.19,0.19,0.12,0.15,0.19
67,,,0.61,0.51,,0.62,0.45,0.43,0.27,0.24,0.28,0.4,0.43,0.41,0.32,0.29,0.22,0.25,0.19,0.24,,0.12,,0.22,0.25,0.22,1.2,0.72,0.11,0.16,0.29,0.36,0.4
68,0.33,0.31,,0.2,0.19,0.16,0.16,0.17,,,0.29,0.31,0.17,,0.23,0.2,,0.17,,,,,,0.07,0.12,0.13,0.13,0.08,0.17,0.16,,0.17,
69,0.2,,,,0.18,0.14,0.16,0.09,,0.08,,,,,,,,,,,0.12,0.22,0.14,,,,,,,,,,
70,0.57,,,,,0.56,,,0.58,0.61,0.63,0.53,0.51,0.5,0.44,0.37,0.31,0.25,0.24,0.32,0.4,0.46,0.55,0.27,0.27,0.17,0.21,0.13,0.29,,0.33,0.36,0.4
71,0.48,0.38,0.32,0.25,0.46,0.41,0.42,0.56,0.8,0.53,0.7,0.45,0.54,0.3,0.15,0.19,0.16,0.13,0.12,0.51,0.13,0.12,0.16,0.09,0.11,0.07,0.08,0.09,0.2,0.29,0.15,0.17,0.2
72,0.42,0.48,0.46,0.43,0.41,0.41,0.38,0.37,,,,,,,0.23,,,,,,,,,0.27,,,0.23,0.21,,,,,
73,0.35,,,,,0.51,,,0.43,0.29,0.26,0.24,0.25,,,0.25,,0.22,,,0.27,0.28,0.25,,0.3,0.24,,,0.19,0.19,,0.17,0.15
